,Node,23/24,24/25,25/26,26/27,27/28,28/29,29/30,30/31,region,bus_name,bus_id
0,ABHA4A,198,201,206,210,214,220,229,239,nget,ABHAM 400kV,315
1,ABHA4B,342,346,352,358,366,377,391,415,nget,ABHAM 400kV,62
2,ABNE10,292,297,306,316,325,334,346,362,,,
3,ABTH20,71,73,76,78,80,82,91,96,nget,ABERTHAW 132kV,730
4,ALDW20,7,7,7,7,7,7,8,8,nget,ALDWARKE 33kV,831
5,ALNE1Q,22,27,33,44,54,65,76,85,,,
6,ALNE1R,207,220,224,228,232,237,241,247,,,
7,ALVE4A,-18,-19,-20,-20,-21,-21,-22,-23,nget,ALVERDISCOTT 400kV,248
8,ALVE4B,16,16,16,17,18,19,20,21,nget,ALVERDISCOTT 400kV,311
9,AMEM4A_EPN,23,55,72,75,78,80,83,85,nget,AMERSHAM MAIN 400kV,320
10,AMEM4A_SEP,13,13,13,13,14,15,15,16,nget,AMERSHAM MAIN 400kV,320
11,AMEM4B_EPN,208,241,246,248,253,259,270,281,nget,AMERSHAM MAIN 400kV,170
12,AMEM4B_SEP,108,141,142,140,145,150,154,159,nget,AMERSHAM MAIN 400kV,170
13,ARBR1Q,22,27,33,44,54,65,76,85,,,
14,ARBR1R,135,146,160,231,235,239,243,249,,,
15,ARDK10,35,35,35,35,35,35,35,35,,,
16,ARMO10,4,4,4,4,4,4,4,4,,,
17,AXMI40_SEP,11,11,41,42,42,42,43,44,nget,AXMINSTER 132kV,548
18,AXMI40_WPD,9,9,9,8,9,9,9,10,nget,AXMINSTER 132kV,548
19,AYR-2Q,177,180,186,194,205,215,226,236,,,
20,AYR-2R,61,62,62,62,63,64,64,65,,,
21,BAGA1Q,24,77,80,143,146,149,152,155,,,
22,BAGA1R,117,119,119,119,120,121,125,128,,,
23,BAIN10,2,2,2,2,2,2,2,2,,,
24,BARK20_EPN,74,74,76,77,80,82,85,88,nget,BARKING 132kV,726
25,BARK20_LPN,297,301,304,304,306,310,313,319,nget,BARKING 132kV,726
26,BEAU10,423,427,435,451,472,499,535,572,,,
27,BEDD20_LPN,595,615,637,663,691,728,769,823,nget,BEDDINGTON 132kV,732
28,BEDD20_SPN,12,13,14,16,14,16,19,21,nget,BEDDINGTON 132kV,732
29,BERB20,139,139,141,144,148,151,155,163,,,
30,BERW1Q,372,382,393,402,413,427,443,443,,,
31,BERW1R,117,119,119,119,120,121,125,128,,,
32,BESW20,27,27,29,30,31,33,34,35,nget,BERKSWELL 132kV,691
33,BICF4A,21,24,26,89,92,96,99,102,nget,BICKER FEN 132kV,705
34,BICF4B,8,8,8,8,8,8,36,36,nget,BICKER FEN 132kV,705
35,BIRK20,44,45,46,47,49,50,52,56,nget,BIRKENHEAD 132kV,727
36,BISW20,350,379,386,392,401,412,427,444,nget,BISHOPS WOOD 132kV,737
37,BLYT20,28,34,36,60,61,62,64,65,nget,BLYTH 66kV,800
38,BOAG1Q,0,0,0,0,0,0,0,0,,,
39,BOAG1R,135,146,160,231,235,239,243,249,,,
40,BOLN40,53,46,47,57,59,60,53,54,nget,BOLNEY 132kV,766
41,BONN10,131,133,136,138,140,144,149,156,,,
42,BOTW40,11,11,41,42,42,42,43,44,nget,BOTLEY WOOD 132kV,652
43,BRAI4A,33,33,33,34,34,35,36,36,nget,BRAINTREE 400kV,271
44,BRAI4B,-6,-6,-6,-6,-6,-6,-6,-6,nget,BRAINTREE 400kV,268
45,BRAP10,43,45,47,51,55,60,65,72,,,
46,BRAW20,57,59,61,65,69,75,80,86,nget,BRADFORD WEST 132kV,741
47,BRED20,24,28,33,39,44,49,54,60,nget,BREDBURY 132kV,740
48,BRFO40,97,99,102,105,108,111,115,121,nget,BRAMFORD 132kV,599
49,BRID1Q,32,32,33,33,33,35,36,38,,,
50,BRID1R,26,33,39,46,53,61,69,77,,,
51,BRIM2A_EPN,145,144,146,148,150,152,185,186,nget,BRIMSDOWN 275kV,460
52,BRIM2A_LPN,11,10,10,11,16,17,17,18,nget,BRIMSDOWN 275kV,460
53,BRIM2B_EPN,187,187,217,224,233,248,261,279,nget,BRIMSDOWN 275kV,432
54,BRIM2B_LPN,119,121,125,131,137,144,150,158,nget,BRIMSDOWN 275kV,432
55,BRIM2C_EPN,43,45,47,49,53,58,63,69,nget,BRIMSDOWN 275kV,358
56,BRIM2C_LPN,182,180,186,194,205,215,226,238,nget,BRIMSDOWN 275kV,358
57,BRLE40,1,1,1,1,1,1,1,1,nget,BRAMLEY 132kV,779
58,BROA1Q,139,139,141,144,148,151,155,163,,,
59,BROR10,147,154,157,160,177,182,187,202,,,
60,BROX1Q,237,236,233,233,231,233,241,247,,,
61,BROX1R,311,323,329,327,331,331,344,350,,,
62,BRWA2A,22,22,22,22,22,23,23,23,nget,BRIDGWATER 275kV,400
63,BRWA2B,16,16,16,17,18,19,20,21,nget,BRIDGWATER 275kV,359
64,BULL40,98,101,105,115,123,128,133,138,nget,BULLSLODGE 400kV,37
65,BUMU10,20,21,22,22,23,24,24,26,,,
66,BURW40,229,237,246,257,272,291,310,337,nget,BURWELL 132kV,535
67,BUSH20,163,167,172,179,186,196,206,220,nget,BUSHBURY 132kV,563
68,BUST20,163,167,172,179,186,196,206,220,nget,BUSTLEHOLME 132kV,750
69,CAAD1Q,94,97,99,103,107,113,120,130,,,
70,CAAD1R,23,30,36,43,50,58,66,74,,,
71,CAFA1Q,-3,-3,-2,-2,-2,-2,-2,-2,,,
72,CAIN20,20,21,22,22,23,24,24,26,,,
73,CANT40,8,8,8,8,8,8,36,36,nget,CANTERBURY 132kV,746
74,CAPE20,47,73,99,126,154,174,193,213,nget,CAPENHURST 132kV,724
75,CARE20,21,22,23,24,25,27,28,31,nget,CARDIFF EAST 132kV,546
76,CARR20,302,305,296,255,264,272,275,274,nget,CARRINGTON 132kV,597
77,CASS1Q,0,0,0,0,0,0,0,0,,,
78,CATY1Q,464,479,501,528,565,600,635,676,,,
79,CATY1R,155,163,173,186,202,217,235,261,,,
80,CEAN1Q,7,8,5,6,6,6,7,8,,,
81,CELL40_SPM,97,99,102,103,105,108,111,112,nget,CELLARHEAD 132kV,762
82,CELL40_WPD,121,123,126,127,129,131,135,140,nget,CELLARHEAD 132kV,762
83,CHAP10,-3,-3,-2,-2,-2,-2,-2,-2,,,
84,CHAR10,153,180,180,205,205,205,207,212,,,
85,CHAS2Q,12,13,14,15,15,16,17,17,,,
86,CHAS2R,304,321,331,334,337,342,353,363,,,
87,CHIC40,25,29,34,98,102,107,111,115,nget,CHICKERELL 132kV,731
88,CHSI20,18,17,10,4,2,4,6,4,nget,CHESSINGTON 132kV,685
89,CHTE20,80,81,87,90,94,98,101,104,nget,CHESTERFIELD 132kV,785
90,CITR41,33,64,64,65,67,69,71,74,nget,CITYROAD 400kV,118
91,CITR46,22,24,26,28,30,31,33,35,nget,CITYROAD 132kV,698
92,CLAY1S,85,88,90,94,99,104,109,117,,,
93,CLAY1T,30,30,31,31,32,32,33,34,,,
94,CLYM20,79,80,84,89,94,77,80,83,,,
95,COAT2Q,12,13,14,15,15,16,17,17,,,
96,COAT2R,85,94,97,98,98,100,102,105,,,
97,COCK20,79,80,84,89,94,77,80,83,,,
98,CONQ40,500,564,564,505,515,519,598,613,nget,CONNAHS QUAY 132kV,771
99,COUA1Q,17,18,63,73,74,75,76,78,,,
100,COUA1R,95,95,97,100,102,105,109,113,,,
101,COVE20,27,27,29,30,31,33,34,35,nget,COVENTRY 132kV,581
102,COWL40,22,23,53,85,86,87,89,91,nget,COWLEY 132kV,767
103,COYL10,128,209,223,238,254,310,319,325,,,
104,CRAI10,504,517,532,553,577,610,647,696,,,
105,CREB40,18,44,102,103,105,107,108,111,nget,CREYKE BECK 132kV,707
106,CROO1Q,62,97,98,100,102,105,108,111,,,
107,CROO1R,21,21,22,48,49,50,52,54,,,
108,CULJ4A,244,294,295,297,300,305,310,323,nget,CULHAM JET 400kV,304
109,CUMB1Q,34,35,37,40,42,45,47,49,,,
110,CUMB1R,21,21,22,48,49,50,52,54,,,
111,CUPA1Q,62,97,98,100,102,105,108,111,,,
112,CUPA1R,35,35,36,45,46,47,49,50,,,
113,CURR10,14,17,20,23,26,30,33,37,,,
114,DALM10,14,17,20,23,26,30,33,37,,,
115,DEVM10,137,137,139,142,145,149,152,158,,,
116,DEVO10,130,180,182,138,142,149,196,201,,,
117,DEWP2Q,34,35,37,40,42,45,47,49,,,
118,DEWP2R,35,35,36,45,46,47,49,50,,,
119,DIDC40,35,37,39,43,46,50,53,56,nget,DIDCOT 400kV,270
120,DOUN10,17,17,17,18,19,20,19,20,,,
121,DRAK20,186,194,203,211,220,233,251,269,nget,DRAKELOW 132kV,709
122,DRAX40,18,44,102,103,105,107,108,111,nget,DRAX 132kV,589
123,DRCR1Q,34,35,37,40,42,45,47,49,,,
124,DRCR1R,2,2,0,0,0,0,0,0,,,
125,DRUM2Q,62,97,98,100,102,105,108,111,,,
126,DRUM2R,46,62,72,82,92,133,143,155,,,
127,DUBE1Q,8,8,8,8,9,9,10,10,,,
128,DUDH1Q,17,18,63,73,74,75,76,78,,,
129,DUDH1R,-76,-77,-77,-78,-78,-78,-78,-78,,,
130,DUGR1Q,8,8,8,8,9,9,10,10,,,
131,DUMF10,0,12,12,12,12,12,12,12,,,
132,DUNB1Q,827,846,869,903,942,995,1057,1137,,,
133,DUNB1R,2,2,0,0,0,0,0,0,,,
134,DUNF1Q,11,11,11,12,12,12,12,13,,,
135,DUNF1R,334,350,406,452,485,519,544,581,,,
136,DUNO1Q,20,23,23,24,25,26,27,29,,,
137,DUNO1R,24,24,24,25,26,27,28,28,,,
138,DYCE1Q,17,17,17,18,19,20,22,23,,,
139,DYCE1R,16,16,16,16,17,18,19,20,,,
140,EALI20,22,23,53,85,86,87,89,91,nget,EALING 66kV,802
141,EASO40,10,10,10,10,10,10,10,10,nget,EATON SOCON 132kV,710
142,EAST1Q,26,30,31,32,33,34,36,38,,,
143,ECCF1J,24,74,75,75,76,77,78,80,,,
144,ECCF1K,13,13,13,13,13,14,14,14,,,
145,ECCL10,12,20,27,35,83,91,100,108,,,
146,ECLA40_EME,0,-3,-10,-10,-10,-10,-10,-10,nget,EAST CLAYDON 132kV,745
147,ECLA40_SEP,95,95,126,154,154,155,156,157,nget,EAST CLAYDON 132kV,745
148,EERH20,86,90,94,95,98,101,108,113,,,
